tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1554.00;3_7_2;200.00;7.64;1266.00;0.00;4_3_0;5.10;0.00;tripinfo_1266;288.00;1266;0;494.90;0.78;0.00;241.87;DEFAULT_VEHTYPE;;3;217.00
1556.00;7_6_0;400.00;15.00;54.00;0.00;1_2_0;5.10;0.00;tripinfo_54;1502.00;54;0;1294.90;1.09;0.00;1415.93;DEFAULT_VEHTYPE;;22;1263.00
1567.00;7_8_0;300.00;12.64;1481.00;0.00;5_6_0;5.10;0.00;tripinfo_1481;86.00;1481;0;994.90;0.91;0.00;6.80;DEFAULT_VEHTYPE;;0;0.00
1572.00;7_8_1;300.00;14.99;1191.00;0.00;4_3_0;5.10;0.00;tripinfo_1191;381.00;1191;0;794.90;1.09;0.00;327.69;DEFAULT_VEHTYPE;;4;302.00
1572.00;3_4_1;300.00;14.66;629.00;0.00;1_2_0;5.10;0.00;tripinfo_629;943.00;629;0;994.90;1.08;0.00;875.96;DEFAULT_VEHTYPE;;7;821.00
1573.00;2_1_0;300.00;13.66;452.00;0.00;8_7_0;5.10;0.00;tripinfo_452;1121.00;452;0;1194.90;1.03;0.00;1037.61;DEFAULT_VEHTYPE;;19;888.00
1575.00;2_6_0;200.00;5.89;1023.00;0.00;2_6_0;5.10;0.00;tripinfo_1023;552.00;1023;0;194.90;0.87;0.00;535.58;DEFAULT_VEHTYPE;;4;510.00
1577.00;2_1_1;300.00;12.40;1509.00;0.00;5_6_0;5.10;0.00;tripinfo_1509;68.00;1509;0;794.90;0.94;0.00;6.81;DEFAULT_VEHTYPE;;0;0.00
1583.00;6_5_0;300.00;15.37;962.00;0.00;1_2_0;5.10;0.00;tripinfo_962;621.00;962;0;794.90;1.13;0.00;569.70;DEFAULT_VEHTYPE;;3;543.00
1583.00;7_8_0;300.00;13.34;1527.00;0.00;6_7_0;5.10;0.00;tripinfo_1527;56.00;1527;0;694.90;0.99;0.00;4.87;DEFAULT_VEHTYPE;;0;0.00
1584.00;3_4_1;300.00;14.81;695.00;0.00;6_2_0;5.10;0.00;tripinfo_695;889.00;695;0;894.90;1.12;0.00;830.67;DEFAULT_VEHTYPE;;7;773.00
1584.00;2_1_0;300.00;15.15;1323.00;1065.00;3_2_0;5.10;0.00;tripinfo_258;261.00;258;0;694.90;1.11;0.00;215.69;DEFAULT_VEHTYPE;;3;190.00
1586.00;7_8_0;300.00;12.22;451.00;0.00;2_6_0;5.10;0.00;tripinfo_451;1135.00;451;0;894.90;0.97;0.00;1067.76;DEFAULT_VEHTYPE;;14;967.00
1587.00;7_8_1;300.00;13.15;172.00;0.00;8_7_0;5.10;0.00;tripinfo_172;1415.00;172;0;1794.90;1.04;0.00;1289.88;DEFAULT_VEHTYPE;;18;1153.00
